zomet,ishuv,rehov1,rehov2,x,y
90099,28,256,263,185674,639449
90121,8600,502,503,181637,665200
90123,3000,103,125,220795,633278
90316,3000,1214,1268,216399,630642
90515,5000,1107,1115,178902,664343
90556,5000,1103,1250,178788,663477
90715,5000,1637,1644,177698,662215
100001,666,116,126,185647,575134
100001,9400,112,123,189575,660541
100002,7800,104,105,197473,709651
100005,7600,403,515,207469,759415
100011,7100,693,697,157867,618005
100011,7100,645,697,157867,618005
100011,7100,645,693,157867,618005
100011,7400,106,184,188107,694096
100031,7400,407,413,187037,692523
100041,6600,601,606,177761,660016
100043,7900,107,235,189674,666616
100085,1167,202,205,194907,709277
100105,1167,148,153,192127,711159
100113,3000,106,4279,221024,634187
100146,3000,429,448,220532,631850
100146,3000,448,453,220532,631850
100146,3000,429,453,220532,631850
100234,8600,1731,1732,185774,662374
100911,5000,2515,2572,180773,664778
110001,31,107,110,163819,581004
110001,31,110,169,163819,581004
110001,31,107,169,163819,581004
110001,1020,105,154,192845,712094
110007,8400,415,419,182063,644775
110009,8400,481,508,183283,645074
110012,6600,117,209,180910,658968
110024,7900,1102,1145,185936,666379
110031,7400,402,407,186952,692564
110041,7400,707,837,188712,691848
110123,3000,103,121,220864,633380
110231,3000,1004,1020,218520,632610
110233,4000,414,415,199323,747339
110522,3000,1508,1526,220956,631162
110815,5000,2231,2232,178761,662610
120001,666,106,134,186270,575198
120001,1200,303,441,200660,646179
120001,1200,173,303,200660,646179
120001,1200,173,441,200660,646179
120001,3570,203,204,216754,667946
120004,6400,313,318,184755,673740
120007,6500,602,603,192437,704826
120008,70,221,222,168209,634716
120008,70,221,231,168209,634716
120008,70,221,289,168209,634716
120008,70,222,231,168209,634716
120008,70,231,289,168209,634716
120008,70,222,289,168209,634716
120011,6100,103,301,183994,667272
120011,6100,103,104,183994,667272
120011,6100,104,301,183994,667272
120011,6100,104,301,,
120012,6600,103,117,181039,658830
120214,3000,916,937,219136,633110
120214,3000,937,939,219136,633110
120214,3000,916,939,219136,633110
120522,3000,1526,1528,221153,631203
120522,3000,1526,1534,221153,631203
120522,3000,1528,1534,221153,631203
130001,1034,103,145,176215,626263
130003,2630,122,280,177411,613456
130005,2650,214,347,184364,672728
130031,7400,407,433,186813,692615
130031,7400,433,532,186813,692615
130031,7400,407,532,186813,692615
130031,7900,743,1203,189219,664627
130031,7900,1203,1205,189219,664627
130031,7900,743,1205,189219,664627
